,Degree,Betweennes,Eigenvector,Closeness,Betweennes/Degree
A2M,4,0.0005258022934126535,0.00046617588466613043,0.24059583840491508,0.00013145057335316336
APOE,128,0.03702887392984175,0.012732646235286945,0.3059629984521265,0.00028928807757688866
LEP,2,1.3079608409950676e-05,1.7679239647245666e-05,0.1972814980276603,6.539804204975338e-06
NGF,7,0.0008383286991126748,0.0009724191059101871,0.267547534643893,0.00011976124273038212
ABAT,42,0.012359758153766729,0.0030153674886656107,0.26959797363122684,0.00029427995604206495
ACP6,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
ADSL,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
AKR1B1,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
CBS,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
ENO1,5,0.0013905684654046979,0.0020373088211127306,0.2588389349628983,0.00027811369308093956
ESD,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
FAH,2,0.0009214570546345593,0.0009215081883621458,0.2526937359225665,0.00046072852731727967
FAHD1,3,0.00027749778209769165,0.0010960544221862677,0.24974429938030202,9.249926069923055e-05
FKBP3,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
GPI,3,0.0004022473401185097,0.0004759162940439182,0.24112692419401685,0.0001340824467061699
HINT2,7,0.003163331737594585,0.00504991031275678,0.27834775028498626,0.00045190453394208357
HMGCS1,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
HSD17B14,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
HSPE1,5,0.0016312728679291552,0.0030759887077872906,0.2611184500220167,0.00032625457358583106
PDCD6IP,3,0.0005959163555435215,0.00010170843203168974,0.22529172320217097,0.00019863878518117385
PGM1,3,0.00027749778209769165,0.0010960544221862677,0.24974429938030202,9.249926069923055e-05
PGM2,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
PYURF,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
QDPR,1,0.0,9.378866428581749e-05,0.21235995293395407,0.0
RAD23B,2,0.0013193629292100949,0.0217524099615939,0.2836738877878767,0.0006596814646050474
SORD,3,0.0009792251136966645,0.0032735420864998016,0.2649518095359673,0.0003264083712322215
ABCC2,52,0.016712592084218325,0.002985263770672649,0.28531170527183997,0.00032139600161958315
AP2M1,3,0.001320459015227958,0.0008917905160388065,0.24863731656184487,0.000440153005075986
ATP6V1B1,2,0.00010148254281429612,0.0001702797825757068,0.23313675933726483,5.074127140714806e-05
ATP6V1E1,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
AZIN1,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
CLTC,2,0.0002538975206362229,0.0004888829604898328,0.24470907268761422,0.00012694876031811144
HSPA4,6,0.0018843887928853772,0.0015698942845451477,0.25903276131045244,0.0003140647988142295
JUP,4,0.004548342900710101,0.023251198069461073,0.3005140085426772,0.0011370857251775252
MCPH1,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
MRPL10,2,0.0005317874747355449,0.000920571855556539,0.25284765791557534,0.00026589373736777243
MRPL23,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
MRPL24,2,0.00045412790646752926,0.0015263978183196508,0.24842899036447424,0.00022706395323376463
MRPL37,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
MRPL57,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
MRPS26,5,0.0014018508536050892,0.0028798599322284618,0.2584199713627591,0.00028037017072101784
MRPS28,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
MRPS35,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
NDUFA10,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
NDUFA2,2,0.000607553275573457,0.00260060083709774,0.2615791795324217,0.0003037766377867285
NDUFA9,2,0.000607553275573457,0.00260060083709774,0.2615791795324217,0.0003037766377867285
NDUFB9,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
NDUFS8,2,0.0002538975206362229,0.0004888829604898328,0.24470907268761422,0.00012694876031811144
NFKB1,3,0.00084237771754332,0.0009206637273745867,0.25315606513386596,0.00028079257251443997
OXA1L,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
PDZD3,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
PDZK1,2,0.001599198613660097,0.02175147362878829,0.283790250905859,0.0007995993068300485
PICALM,2,0.001599198613660097,0.02175147362878829,0.283790250905859,0.0007995993068300485
PRR3,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
PTRH2,2,0.000607553275573457,0.00260060083709774,0.2615791795324217,0.0003037766377867285
RAB11B,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
RAB14,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
RAB31,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
SHANK3,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
SLC30A5,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
SLC9A3R1,3,0.0005647983585733367,0.0009030377410101116,0.24618943123183679,0.00018826611952444557
SSR1,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
SYNJ2BP,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
TCIRG1,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
TOMM20,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
TOMM22,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
TOMM70A,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
TUBB3,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
UBQLN1,4,0.0013849063449818534,0.000515677981075295,0.24151975330191425,0.00034622658624546335
UQCRFS1,2,0.0002179505113773777,0.0007595704948117628,0.24358899125638167,0.00010897525568868886
VAMP2,1,0.0,9.285233148021085e-05,0.22199048077437297,0.0
ABCC8,2,0.0024181430559397413,0.0025118486148099375,0.2594537158572411,0.0012090715279698707
KCNJ11,13,0.004829864837217559,0.0001318212179788723,0.2155803687353934,0.00037152806440135066
ABCE1,3,0.0009046063474410439,0.02274312896054653,0.28908698377324327,0.00030153544914701463
ACAT1,160,0.04369208606404461,0.02143542920801377,0.3172819689673622,0.0002730755379002788
APEX1,1015,0.4390508653827363,0.6963389766400386,0.3914191419141914,0.00043256242894850865
TBCD,68,0.019169340629104727,0.013432208302764228,0.315689406038482,0.0002819020680750695
ABHD5,1,0.0,3.3734645689846607e-06,0.17487466823945738,0.0
GAD2,44,0.01796776866962719,0.00010845911350738807,0.21192627763312402,0.0004083583788551634
ABL1,2,0.00022320680516504815,0.0014416101396480961,0.2497142513385069,0.00011160340258252408
CAT,119,0.03582778411823651,0.021605401816505117,0.3173790045110482,0.00030107381611963456
FOS,148,0.04965670720408489,0.024743316117873997,0.3120817983610255,0.0003355182919194925
ABL2,1,0.0,0.0006720049165964554,0.2409309884497069,0.0
ACAA1,2,6.855819010127176e-05,0.0013387230799280074,0.24860753428759658,3.427909505063588e-05
ACAA2,4,0.0003335216973227499,0.0012542825272567663,0.2528784648187633,8.338042433068748e-05
IDH2,95,0.0290897243912408,0.010618104130501068,0.30998431782540514,0.0003062076251709558
ACACA,1,0.0,0.00020993147673402558,0.23772979783517553,0.0
SOD2,69,0.020494046826761717,0.006749435601963963,0.31184734430170535,0.00029701517140234374
