"","OFFICIAL_SYMBOL_A","OFFICIAL_SYMBOL_B","Interactor A Uniprot AC","Interactor B Uniprot AC"
"455","A2M","APOE","P01023","P02649"
"2591","A2M","LEP","P01023","P41159"
"3277","A2M","NGF","P01023","P01138"
"205","ABAT","ACP6","P80404","Q9NPH0"
"256","ABAT","ADSL","P80404","P30566"
"295","ABAT","AKR1B1","P80404","P15121"
"847","ABAT","CBS","P80404","P35520"
"1525","ABAT","ENO1","P80404","P06733"
"1562","ABAT","ESD","P80404","P10768"
"1587","ABAT","FAH","P80404","P16930"
"1590","ABAT","FAHD1","P80404","Q6P587"
"1687","ABAT","FKBP3","P80404","Q00688"
"1971","ABAT","GPI","P80404","K7EPY4"
"2102","ABAT","HINT2","P80404","Q9BX68"
"2139","ABAT","HMGCS1","P80404","Q01581"
"2188","ABAT","HSD17B14","P80404","Q9BPX1"
"2233","ABAT","HSPE1","P80404","P61604"
"3621","ABAT","PDCD6IP","P80404","Q8WUM4"
"3661","ABAT","PGM1","P80404","P36871"
"3662","ABAT","PGM2","P80404","Q96G03"
"4131","ABAT","PYURF","P80404","Q96I23"
"4133","ABAT","QDPR","P80404","P09417"
"4165","ABAT","RAD23B","P80404","P54727"
"4948","ABAT","SORD","P80404","Q00796"
"361","ABCC2","AP2M1","Q92887","Q96CW1"
"598","ABCC2","ATP6V1B1","Q92887","P15313"
"600","ABCC2","ATP6V1E1","Q92887","P36543"
"637","ABCC2","AZIN1","Q92887","O14977"
"1017","ABCC2","CLTC","Q92887","Q00610"
"2212","ABCC2","HSPA4","Q92887","P34932"
"2451","ABCC2","JUP","Q92887","P14923"
"2858","ABCC2","MCPH1","Q92887","Q8NEM0"
"3098","ABCC2","MRPL10","Q92887","Q7Z7H8"
"3103","ABCC2","MRPL23","Q92887","Q16540"
"3104","ABCC2","MRPL24","Q92887","Q96A35"
"3107","ABCC2","MRPL37","Q92887","Q9BZE1"
"3111","ABCC2","MRPL57","Q92887","Q9BQC6"
"3116","ABCC2","MRPS26","Q92887","Q9BYN8"
"3117","ABCC2","MRPS28","Q92887","Q9Y2Q9"
"3119","ABCC2","MRPS35","Q92887","P82673"
"3210","ABCC2","NDUFA10","Q92887","O95299"
"3213","ABCC2","NDUFA2","Q92887","O43678"
"3221","ABCC2","NDUFA9","Q92887","Q16795"
"3227","ABCC2","NDUFB9","Q92887","Q9Y6M9"
"3235","ABCC2","NDUFS8","Q92887","O00217"
"3270","ABCC2","NFKB1","Q92887","P19838"
"3535","ABCC2","OXA1L","Q92887","A0A087X0L7"
"3647","ABCC2","PDZD3","Q92887","Q86UT5"
"3648","ABCC2","PDZK1","Q92887","Q5T2W1"
"3678","ABCC2","PICALM","Q92887","Q13492"
"4025","ABCC2","PRR3","Q92887","P79522"
"4118","ABCC2","PTRH2","Q92887","Q9Y3E5"
"4142","ABCC2","RAB11B","Q92887","Q15907"
"4145","ABCC2","RAB14","Q92887","P61106"
"4149","ABCC2","RAB31","Q92887","J3KRU3"
"4643","ABCC2","SHANK3","Q92887","A0A0U1RR93"
"4816","ABCC2","SLC30A5","Q92887","Q8TAD4"
"4849","ABCC2","SLC9A3R1","Q92887","O14745"
"5014","ABCC2","SSR1","Q92887","P43307"
"5109","ABCC2","SYNJ2BP","Q92887","P57105"
"5373","ABCC2","TCIRG1","Q92887","Q13488"
"5488","ABCC2","TOMM20","Q92887","Q15388"
"5489","ABCC2","TOMM22","Q92887","Q9NS69"
"5491","ABCC2","TOMM70A","Q92887",NA
"5829","ABCC2","TUBB3","Q92887","Q13509"
"5883","ABCC2","UBQLN1","Q92887","Q9UMX0"
"5905","ABCC2","UQCRFS1","Q92887","P47985"
"5937","ABCC2","VAMP2","Q92887","P63027"
"2485","ABCC8","KCNJ11","Q09428","E9PPF1"
"110","ABCE1","ACAT1","P61221","P24752"
"414","ABCE1","APEX1","P61221","P27695"
"5190","ABCE1","TBCD","P61221","A0A0J9YWI5"
"1819","ABHD5","GAD2","Q8WTS1","Q05329"
"833","ABL1","CAT","P00519","P04040"
"1765","ABL1","FOS","P00519","P01100"
"837","ABL2","CAT","P42684","P04040"
"74","ACAA1","ACAT1","P09110","P24752"
"822","ACAA1","CAT","P09110","P04040"
"2319","ACAA2","IDH2","P42765","P48735"
"4944","ACACA","SOD2","Q13085","P04179"
"122","ACAD9","ACAT1","Q9H845","P24752"
"2705","ACAD9","LETM1","Q9H845","O95202"
"4758","ACAD9","SLC2A1","Q9H845","P11166"
"29","ACAT1","ABCB7","P24752","O75027"
"61","ACAT1","ACAA2","P24752","P42765"
"282","ACAT1","AGXT","P24752","P21549"
"289","ACAT1","AK2","P24752","P54819"
"291","ACAT1","AK3","P24752","Q9UIJ7"
"721","ACAT1","C15orf48","P24752","Q9C002"
"1176","ACAT1","COX17","P24752","Q14061"
"1206","ACAT1","CRIP1","P24752","P50238"
"1215","ACAT1","CSE1L","P24752","P55060"
"1301","ACAT1","DDB1","P24752","Q16531"
"1361","ACAT1","DLD","P24752","P09622"
"1437","ACAT1","DUS3L","P24752","Q96G46"
"1556","ACAT1","ERCC2","P24752","P18074"
"2234","ACAT1","HSPE1","P24752","P61604"
"2372","ACAT1","ILVBL","P24752","A1L0T0"
"2862","ACAT1","MDH2","P24752","P40926"
"3321","ACAT1","NIT2","P24752","Q9NQR4"
"3629","ACAT1","PDHA1","P24752","P08559"
"3641","ACAT1","PDP1","P24752","Q9P0J1"
"3923","ACAT1","PRDX1","P24752","Q06830"
"3932","ACAT1","PRDX5","P24752","P30044"
"4157","ACAT1","RAB7A","P24752","P51149"
"4632","ACAT1","SFXN1","P24752","Q9H9B4"
"4634","ACAT1","SFXN3","P24752","Q9BWM7"
"5423","ACAT1","TIMM44","P24752","O43615"
"5464","ACAT1","TMEM65","P24752","Q6PI78"
"5490","ACAT1","TOMM7","P24752","Q9P0U1"
