,ClusterID,N seeds,N genes,SeedIDs,GeneNames,p-value
0,6,1,13,['DRD1'],"{'COPG1', 'COPG2', 'HRH3', 'GHSR', 'RANBP9', 'DRD1', 'DNAJC14', 'RANBP10', 'PRKACA', 'ADORA1', 'PDCD6IP', 'VPS35', 'ADA'}",0.03755691076600075
1,15,1,14,['KCNJ11'],"{'LDHA', 'KCNJ11', 'CDH5', 'YWHAB', 'GDPD5', 'EXOSC8', 'SLC17A2', 'PCDHAC2', 'PCDHB16', 'FAM63B', 'IL17RC', 'ABCC8', 'TRPM8', 'KCNJ8'}",0.04314197498784386
2,25,1,15,['SIGMAR1'],"{'TCTN3', 'RNF4', 'LMBR1L', 'HSCB', 'ANK2', 'CFTR', 'ITFG1', 'PDZD11', 'MOV10', 'RTN1', 'KCNH2', 'AK2', 'SIGMAR1', 'STOM', 'CLN3'}",0.049014488987766065
3,29,1,13,['AGT'],"{'ACE', 'REN', 'LNPEP', 'HSPA5', 'EWSR1', 'GSDMB', 'NDUFA3', 'ATP6AP2', 'ECE1', 'ITSN2', 'ACE2', 'AGT', 'RIPK4'}",0.03755691076600075
4,52,1,10,['GAMT'],"{'RAB24', 'BCAR1', 'GAMT', 'BICD2', 'POT1', 'FSD1', 'FARS2', 'TAS2R41', 'TERF1', 'TRIM39'}",0.022703677750193774
5,64,1,13,['BDNF'],"{'LOC102724334', 'NTRK2', 'AGO3', 'BDNF', 'F11R', 'HIST1H1A', 'GPR152', 'NTF4', 'INPP5K', 'FAM209A', 'HNRNPH1', 'HAP1', 'JUNB'}",0.03755691076600075
6,66,1,10,['SLC8A3'],"{'CSGALNACT2', 'SPPL2B', 'SLC8A2', 'TMEM43', 'GPD2', 'REEP4', 'PDE3B', 'GJA8', 'SLC8A3', 'EMC7'}",0.022703677750193774
7,68,1,13,['PIGM'],"{'GABRE', 'POMK', 'CHEK1', 'LTB4R2', 'HTR3C', 'PTH1R', 'CNDP1', 'TM2D2', 'HAVCR2', 'STARD7', 'UPK1A', 'CHRM4', 'PIGM'}",0.03755691076600075
8,74,1,11,['SYN2'],"{'YWHAE', 'SYN3', 'SYN2', 'PSMC3', 'ARMC1', 'HAX1', 'POLL', 'YWHAZ', 'IQCB1', 'DNAAF2', 'GNB2L1'}",0.027319360957758995
9,77,1,12,['NOS1'],"{'SOX2', 'NOS1', 'RASD1', 'NOS1AP', 'DLG2', 'DMD', 'SYN1', 'ZDHHC23', 'CKAP4', 'BDKRB2', 'SNTA1', 'PRKD1'}",0.03227668704580366
10,78,1,12,['IL1B'],"{'CMA1', 'SP1', 'CASP1', 'UBE2N', 'IL1R1', 'LYN', 'IL1B', 'IRAK1', 'PTPN1', 'ZNF675', 'MAPK8IP2', 'EGR1'}",0.03227668704580366
11,84,1,13,['CRH'],"{'KRT31', 'KRTAP9-3', 'RRAS', 'CRH', 'KRTAP10-8', 'KRTAP5-9', 'UBR1', 'CRHR1', 'CRHR2', 'KRTAP1-3', 'NBPF19', 'CYSRT1', 'KRTAP1-5'}",0.03755691076600075
